0,12,24,576,0,1,1,1
3,13,32,1024,1,1,1,1
1,5,30,900,1,1,1,0
2,4,42,1764,1,1,1,1
2,11,43,1849,1,1,1,1
1,7,36,1296,1,1,1,0
4,16,37,1369,1,1,1,1
0,10,18,324,0,1,1,1
1,5,34,1156,1,1,0,0
0,4,49,2401,1,1,1,0
3,15,42,1764,1,1,1,1
3,7,29,841,1,1,1,0
2,0,45,2025,1,1,1,0
8,4,48,2304,1,1,1,0
3,12,35,1225,1,1,1,1
0,7,26,676,0,1,1,0
4,7,38,1444,0,1,1,0
2,5,47,2209,0,1,1,0
0,16,32,1024,1,1,1,1
1,12,27,729,1,1,1,1
0,12,23,529,1,1,1,1
4,11,39,1521,1,1,1,1
2,12,38,1444,1,1,1,1
4,6,39,1521,1,1,1,0
1,10,21,441,0,1,1,0
2,16,43,1849,1,1,1,1
6,13,41,1681,1,1,1,1
2,3,46,2116,0,1,1,1
1,10,25,625,0,1,0,0
4,0,46,2116,0,1,1,0
3,12,49,2401,1,1,1,1
6,6,43,1849,0,1,0,0
4,5,39,1521,0,1,0,0
4,5,39,1521,0,1,0,0
4,5,25,625,1,1,0,0
2,7,22,484,0,1,0,0
2,6,35,1225,0,1,0,0
2,12,40,1600,1,1,1,1
5,7,40,1600,1,1,1,0
1,0,29,841,0,1,0,0
1,12,33,1089,1,1,1,0
2,3,26,676,0,1,0,0
2,12,41,1681,1,1,1,1
1,7,21,441,0,1,1,0
0,10,19,361,0,1,1,0
1,0,28,784,0,1,1,0
1,12,25,625,1,1,1,1
2,12,48,2304,1,1,1,1
3,14,32,1024,1,1,1,1
3,10,27,729,1,1,1,1
2,5,37,1369,0,1,0,0
0,10,24,576,0,1,0,0
1,12,40,1600,1,1,1,1
5,17,49,2401,1,1,1,1
2,14,38,1444,1,1,1,1
2,13,32,1024,1,1,1,1
0,7,22,484,0,1,1,1
2,4,24,576,0,1,1,1
2,17,41,1681,1,1,1,1
0,7,30,900,1,1,0,0
5,5,46,2116,0,1,1,0
5,12,36,1296,1,1,1,1
0,3,45,2025,1,1,1,1
3,10,42,1764,1,1,1,1
1,8,16,256,0,1,1,1
4,10,44,1936,1,1,1,1
0,11,17,289,0,1,1,1
0,8,15,225,0,1,1,1
0,7,22,484,0,1,1,1
2,7,29,841,0,1,1,0
1,16,24,576,0,1,1,1
0,2,36,1296,1,1,1,0
3,19,41,1681,1,1,1,1
2,6,49,2401,1,1,1,0
2,0,41,1681,0,1,1,0
2,15,47,2209,1,1,1,0
2,13,40,1600,1,1,1,1
3,15,39,1521,1,1,1,1
1,0,22,484,1,1,0,0
0,7,17,289,0,1,1,1
2,16,30,900,1,1,1,1
2,14,36,1296,1,1,1,1
3,10,27,729,1,1,1,1
4,7,36,1296,0,1,1,1
0,8,17,289,0,1,1,1
1,6,29,841,1,1,1,1
2,2,36,1296,0,1,1,0
5,10,46,2116,1,1,1,1
3,5,30,900,0,1,0,0
3,12,39,1521,1,1,1,1
2,17,33,1089,1,1,1,1
1,10,18,324,0,1,0,0
2,11,28,784,1,1,1,1
1,7,24,576,0,1,0,0
3,10,25,625,1,1,1,1
0,7,21,441,0,1,0,0
0,7,16,256,0,1,0,0
2,7,23,529,0,1,0,0
2,10,25,625,0,1,0,0
6,12,39,1521,1,1,1,1
2,20,37,1369,1,1,1,1
1,13,32,1024,1,1,1,1
5,4,47,2209,1,1,1,0
4,14,39,1521,1,1,1,1
0,12,28,784,0,1,1,1
3,12,31,961,1,1,0,0
0,12,24,576,0,1,1,1
5,5,40,1600,1,1,1,1
0,0,18,324,1,1,1,1
3,12,31,961,1,1,1,1
1,7,38,1444,1,1,1,1
0,7,15,225,0,1,1,1
1,12,28,784,0,1,1,1
3,10,43,1849,1,1,1,1
1,7,25,625,0,1,1,1
1,10,21,441,0,1,1,1
3,18,41,1681,1,1,1,1
3,12,40,1600,1,1,1,1
3,6,25,625,1,1,0,0
2,12,35,1225,1,1,1,1
0,7,20,400,0,1,1,1
1,0,29,841,0,1,1,1
2,12,24,576,1,1,1,0
0,8,18,324,0,1,1,0
0,12,21,441,0,1,1,0
2,10,26,676,1,1,1,0
3,12,37,1369,1,1,1,1
2,12,27,729,0,1,1,0
2,12,26,676,1,1,1,0
1,15,34,1156,0,1,1,1
6,9,34,1156,1,1,1,1
3,12,37,1369,1,1,1,1
0,9,18,324,0,1,1,1
3,12,35,1225,1,1,1,1
1,7,22,484,0,1,1,1
9,6,48,2304,1,1,1,1
4,12,29,841,1,1,1,1
1,5,23,529,0,1,1,1
2,12,29,841,1,1,1,1
2,12,21,441,1,1,1,1
0,10,16,256,0,1,1,1
2,7,43,1849,1,1,1,0
1,7,23,529,0,1,1,1
0,12,22,484,0,1,1,1
1,12,26,676,1,1,1,1
0,10,19,361,0,1,1,1
1,12,24,576,1,1,0,0
3,14,35,1225,1,1,1,1
0,8,19,361,0,1,1,1
0,12,24,576,0,1,1,1
1,12,34,1156,0,1,1,1
1,12,25,625,0,1,1,1
1,5,25,625,0,1,1,0
0,7,20,400,0,1,1,0
3,12,36,1296,1,1,1,1
1,16,28,784,1,1,1,1
2,12,28,784,1,1,1,0
3,12,41,1681,1,1,1,1
1,12,31,961,1,1,1,1
2,12,48,2304,1,1,1,1
2,12,29,841,1,1,1,1
1,5,44,1936,1,1,1,0
3,12,35,1225,1,1,1,1
2,7,22,484,0,1,0,0
2,7,27,729,0,1,0,0
0,9,15,225,0,1,1,1
2,16,40,1600,1,1,1,1
1,16,42,1764,1,1,1,1
2,15,49,2401,1,1,1,1
1,7,23,529,0,1,0,0
2,12,32,1024,1,1,1,1
1,10,26,676,1,1,1,1
1,7,25,625,1,1,1,1
2,9,25,625,1,1,1,1
1,10,20,400,1,1,1,0
0,7,20,400,1,1,1,0
4,12,34,1156,1,1,1,1
5,5,45,2025,1,1,1,1
1,9,23,529,1,1,1,1
2,9,22,484,1,1,1,1
0,7,16,256,1,1,1,1
3,9,45,2025,1,1,1,1
0,10,19,361,0,1,1,1
2,3,28,784,0,1,0,0
1,11,23,529,1,1,0,0
1,0,29,841,0,1,0,0
0,7,20,400,1,1,0,0
1,10,27,729,0,1,0,0
4,9,33,1089,1,1,0,0
0,10,19,361,0,1,0,0
2,10,39,1521,1,1,1,1
0,6,16,256,0,1,1,1
2,16,30,900,1,1,1,1
0,7,22,484,0,1,0,0
0,12,28,784,1,1,1,1
2,7,29,841,0,1,0,0
0,0,24,576,0,1,0,0
3,10,37,1369,1,1,1,1
3,0,31,961,0,1,0,0
4,12,33,1089,1,1,1,1
1,0,22,484,0,1,0,0
9,3,47,2209,1,1,0,0
4,12,40,1600,1,1,0,0
0,7,15,225,0,1,0,0
3,7,26,676,1,1,0,0
1,7,29,841,0,1,0,0
4,6,32,1024,1,1,0,0
0,6,37,1369,1,1,0,1
0,10,21,441,0,1,0,1
1,10,27,729,0,1,0,0
0,7,37,1369,1,1,0,0
2,7,26,676,1,1,0,0
3,0,34,1156,1,1,0,0
0,7,15,225,0,1,0,0
3,0,48,2304,1,1,0,0
1,5,23,529,0,1,0,0
1,9,23,529,0,1,0,0
0,13,23,529,1,1,1,1
2,14,30,900,1,1,1,1
2,10,29,841,0,1,1,0
0,4,45,2025,0,1,1,0
3,14,29,841,1,1,1,1
2,9,30,900,0,1,1,1
2,12,27,729,1,1,1,1
4,12,28,784,0,1,1,0
3,0,29,841,0,1,1,0
2,0,27,729,0,1,1,0
3,10,26,676,1,1,1,0
6,4,30,900,1,1,1,0
1,10,26,676,1,1,1,0
2,9,33,1089,1,1,1,1
3,10,33,1089,0,1,1,0
0,9,16,256,0,1,1,0
0,7,18,324,0,1,1,0
1,10,39,1521,1,1,1,1
1,7,17,289,0,1,1,1
1,0,22,484,0,1,1,0
0,7,22,484,0,1,1,0
3,9,35,1225,1,1,1,0
1,4,19,361,0,1,1,0
4,9,28,784,1,1,0,0
2,8,22,484,1,1,0,0
3,0,26,676,1,1,0,0
4,6,38,1444,1,1,0,0
6,4,36,1296,0,1,0,0
3,5,29,841,0,1,0,0
1,10,28,784,0,1,1,0
0,3,23,529,0,1,1,0
1,10,24,576,0,1,0,0
0,0,18,324,0,1,0,0
1,10,22,484,0,1,0,0
1,10,40,1600,1,1,0,0
